DateTime,Vehicles
23 11:00:00,3512
23 12:00:00,3328
23 13:00:00,3200
23 14:00:00,2818
23 15:00:00,3320
23 16:00:00,2687
23 17:00:00,2447
23 18:00:00,2665
23 19:00:00,2924
23 20:00:00,2585
23 21:00:00,2669
23 22:00:00,2808
23 23:00:00,2561
24 00:00:00,2291
24 01:00:00,1913
24 02:00:00,1792
24 03:00:00,1274
24 04:00:00,1200
24 05:00:00,1310
24 06:00:00,1598
24 07:00:00,1643
24 08:00:00,2335
24 09:00:00,2593
24 10:00:00,2869
24 11:00:00,2782
24 12:00:00,3052
24 13:00:00,2373
24 14:00:00,2778
24 15:00:00,2504
24 16:00:00,2408
24 17:00:00,2714
24 18:00:00,2730
24 19:00:00,2381
24 20:00:00,2892
24 21:00:00,2588
24 22:00:00,2521
24 23:00:00,2287
25 00:00:00,2114
25 01:00:00,1615
25 02:00:00,1600
25 03:00:00,1513
25 04:00:00,1105
25 05:00:00,915
25 06:00:00,1003
25 07:00:00,1426
25 08:00:00,1700
25 09:00:00,2118
25 10:00:00,2804
25 11:00:00,2988
25 12:00:00,2900
25 13:00:00,2592
25 14:00:00,2646
25 15:00:00,2747
25 16:00:00,2575
25 17:00:00,2319
25 18:00:00,2787
25 19:00:00,3083
25 20:00:00,2597
25 21:00:00,2405
25 22:00:00,2370
25 23:00:00,2144
26 00:00:00,2195
26 01:00:00,1563
26 02:00:00,1303
26 03:00:00,1106
26 04:00:00,1321
26 05:00:00,1223
26 06:00:00,1120
26 07:00:00,1316
26 08:00:00,1100
26 09:00:00,2084
26 10:00:00,3241
26 11:00:00,3324
26 12:00:00,2566
26 13:00:00,2500
26 14:00:00,3008
26 15:00:00,2995
26 16:00:00,2819
26 17:00:00,2500
26 18:00:00,2425
26 19:00:00,2931
26 20:00:00,3101
26 21:00:00,2610
26 22:00:00,2794
26 23:00:00,2094
27 00:00:00,1970
27 01:00:00,1928
27 02:00:00,1421
27 03:00:00,1122
27 04:00:00,886
27 05:00:00,1110
27 06:00:00,1042
27 07:00:00,885
27 08:00:00,1588
27 09:00:00,2098
27 10:00:00,3262
27 11:00:00,2941
27 12:00:00,2827
27 13:00:00,2597
27 14:00:00,2735
27 15:00:00,2886
27 16:00:00,2602
27 17:00:00,2695
27 18:00:00,2707
27 19:00:00,2974
27 20:00:00,2438
27 21:00:00,2432
27 22:00:00,2364
27 23:00:00,2336
28 00:00:00,2107
28 01:00:00,1274
28 02:00:00,1604
28 03:00:00,1089
28 04:00:00,983
28 05:00:00,792
28 06:00:00,1118
28 07:00:00,981
28 08:00:00,1598
28 09:00:00,1911
28 10:00:00,2100
28 11:00:00,2479
28 12:00:00,2090
28 13:00:00,1777
28 14:00:00,1777
28 15:00:00,2217
28 16:00:00,1802
28 17:00:00,1616
28 18:00:00,1631
28 19:00:00,2626
28 20:00:00,2808
28 21:00:00,2204
28 22:00:00,2234
28 23:00:00,2094
29 00:00:00,2196
29 01:00:00,1672
29 02:00:00,1297
29 03:00:00,1008
29 04:00:00,1221
29 05:00:00,1205
29 06:00:00,980
29 07:00:00,1292
29 08:00:00,1375
29 09:00:00,1801
29 10:00:00,1967
29 11:00:00,2082
29 12:00:00,2212
29 13:00:00,1739
29 14:00:00,1971
29 15:00:00,1904
29 16:00:00,1999
29 17:00:00,2023
29 18:00:00,2123
29 19:00:00,2055
29 20:00:00,2185
29 21:00:00,2368
29 22:00:00,2097
29 23:00:00,1823
30 00:00:00,2014
30 01:00:00,1248
30 02:00:00,1538
30 03:00:00,1126
30 04:00:00,1164
30 05:00:00,1095
30 06:00:00,1088
30 07:00:00,1242
30 08:00:00,1581
30 09:00:00,2357
30 10:00:00,3506
30 11:00:00,3386
30 12:00:00,3617
30 13:00:00,2667
30 14:00:00,3314
30 15:00:00,3400
30 16:00:00,2754
30 17:00:00,2697
30 18:00:00,2787
30 19:00:00,2924
30 20:00:00,3081
30 21:00:00,2898
30 22:00:00,2636
30 23:00:00,2377
