DateTime,Vehicles
23 07:00:00,1072
23 08:00:00,1455
23 09:00:00,2267
23 10:00:00,2979
23 11:00:00,3172
23 12:00:00,3023
23 13:00:00,2880
23 14:00:00,2554
23 15:00:00,3008
23 16:00:00,2405
23 17:00:00,2249
23 18:00:00,2363
23 19:00:00,2655
23 20:00:00,2311
23 21:00:00,2371
23 22:00:00,2535
23 23:00:00,2265
24 00:00:00,2052
24 01:00:00,1734
24 02:00:00,1604
24 03:00:00,1120
24 04:00:00,1080
24 05:00:00,1189
24 06:00:00,1436
24 07:00:00,1421
24 08:00:00,2136
24 09:00:00,2326
24 10:00:00,2551
24 11:00:00,2485
24 12:00:00,2698
24 13:00:00,2208
24 14:00:00,2478
24 15:00:00,2257
24 16:00:00,2175
24 17:00:00,2456
24 18:00:00,2387
24 19:00:00,2123
24 20:00:00,2594
24 21:00:00,2317
24 22:00:00,2289
24 23:00:00,2045
25 00:00:00,1916
25 01:00:00,1468
25 02:00:00,1440
25 03:00:00,1374
25 04:00:00,999
25 05:00:00,838
25 06:00:00,905
25 07:00:00,1309
25 08:00:00,1530
25 09:00:00,1924
25 10:00:00,2527
25 11:00:00,2677
25 12:00:00,2610
25 13:00:00,2324
25 14:00:00,2427
25 15:00:00,2519
25 16:00:00,2292
25 17:00:00,2106
25 18:00:00,2495
25 19:00:00,2757
25 20:00:00,2334
25 21:00:00,2169
25 22:00:00,2103
25 23:00:00,1973
26 00:00:00,1970
26 01:00:00,1369
26 02:00:00,1175
26 03:00:00,1001
26 04:00:00,1209
26 05:00:00,1123
26 06:00:00,1028
26 07:00:00,1200
26 08:00:00,990
26 09:00:00,1859
26 10:00:00,2957
26 11:00:00,3015
26 12:00:00,2275
26 13:00:00,2250
26 14:00:00,2715
26 15:00:00,2690
26 16:00:00,2556
26 17:00:00,2250
26 18:00:00,2207
26 19:00:00,2668
26 20:00:00,2791
26 21:00:00,2359
26 22:00:00,2508
26 23:00:00,1878
27 00:00:00,1743
27 01:00:00,1763
27 02:00:00,1299
27 03:00:00,1031
27 04:00:00,783
27 05:00:00,1009
27 06:00:00,979
27 07:00:00,781
27 08:00:00,1417
27 09:00:00,1886
27 10:00:00,2897
27 11:00:00,2687
27 12:00:00,2571
27 13:00:00,2334
27 14:00:00,2496
27 15:00:00,2583
27 16:00:00,2343
27 17:00:00,2420
27 18:00:00,2443
27 19:00:00,2650
27 20:00:00,2232
27 21:00:00,2220
27 22:00:00,2091
27 23:00:00,2138
28 00:00:00,1903
28 01:00:00,1120
28 02:00:00,1447
28 03:00:00,969
28 04:00:00,867
28 05:00:00,704
28 06:00:00,1024
28 07:00:00,863
28 08:00:00,1436
28 09:00:00,1730
28 10:00:00,1890
28 11:00:00,2210
28 12:00:00,1871
28 13:00:00,1576
28 14:00:00,1576
28 15:00:00,2012
28 16:00:00,1623
28 17:00:00,1470
28 18:00:00,1498
28 19:00:00,2389
28 20:00:00,2535
28 21:00:00,1987
28 22:00:00,2044
28 23:00:00,1878
29 00:00:00,1972
29 01:00:00,1476
29 02:00:00,1164
29 03:00:00,915
29 04:00:00,1119
29 05:00:00,1089
29 06:00:00,962
29 07:00:00,1154
29 08:00:00,1212
29 09:00:00,1621
29 10:00:00,1737
29 11:00:00,1855
29 12:00:00,2002
29 13:00:00,1604
29 14:00:00,1744
29 15:00:00,1717
29 16:00:00,1798
29 17:00:00,1843
29 18:00:00,1933
29 19:00:00,1904
29 20:00:00,1951
29 21:00:00,2099
29 22:00:00,1884
29 23:00:00,1663
30 00:00:00,1826
30 01:00:00,1071
30 02:00:00,1422
30 03:00:00,1039
30 04:00:00,1011
30 05:00:00,980
30 06:00:00,967
30 07:00:00,1059
30 08:00:00,1403
30 09:00:00,2078
30 10:00:00,3161
30 11:00:00,3033
30 12:00:00,3272
30 13:00:00,2367
30 14:00:00,2996
30 15:00:00,3060
30 16:00:00,2432
30 17:00:00,2424
30 18:00:00,2495
30 19:00:00,2655
30 20:00:00,2753
30 21:00:00,2606
30 22:00:00,2408
30 23:00:00,2116
